Label,X,Y,Block Name,Adjacent Points,RFID:Tag:ID,Point Type,
3E,209.6596,51.4829,U-17;7-7,3C;40,2A:00:6D:8F:8C,RFID Tag,
40,209.6682,62.8841,7-13,3E;42,2A:00:6D:08:38,RFID Tag,
42,209.6942,74.7649,7-13,40;44,2A:00:6D:58:54,RFID Tag,
44,205.0329,85.0533,7-13,42;46,2A:00:6D:93:75,RFID Tag,
46,194.6859,90.518,U-19;8-11,44;48,2A:00:6D:3A:A0,RFID Tag,
48,182.7059,90.6629,U-19;8-11,46;49,2A:00:6D:5A:D9,RFID Tag,
49,177.368,90.268,U-4;5-2,48;4B,2A:00:6D:BD:FE,RFID Tag,
145,52.507,66.775,U-60;3-16,0E;146,2A:00:6D:9D:E1,RFID Tag,
146,56.759,77.895,U-60;3-16,145;147,2A:00:6D:0F:A3,RFID Tag,
147,67.077,82.851,U-35;1-6,146;148;152,2A:00:6D:90:21,RFID Tag,
148,78.877,83.531,3-4,147;149,2A:00:6C:EC:7E,RFID Tag,
149,90.807,83.411,3-4,148;14A,2A:00:6D:BA:18,RFID Tag,
14A,102.657,83.34,6-7,149;14B,2A:00:6D:38:16,RFID Tag,
14B,114.644,83.244,6-7,14A;14C,2A:00:6D:BA:01,RFID Tag,
14C,126.649,83.181,6-2,14B;14D,2A:00:6D:5D:3B,RFID Tag,
14D,138.471,82.856,6-2,14C;158,2A:00:6D:7D:2A,RFID Tag,
158,142.669,83.054,U-26;8-15,14D;14E,2A:00:6D:8A:8E,RFID Tag,
14E,150.583,82.39,U-26;8-15,14F;158;159,2A:00:6D:C1:B2,RFID Tag,
14F,160.171,77.049,U-61;8-4,14E;150,2A:00:6C:F7:90,RFID Tag,
150,161.719,74.607,U-61;8-4,14F;151,2A:00:6D:73:96,RFID Tag,
